SIG	Conference	Period	H-Index Conference	Total Authors	Total Publications	Number of Editions	Average Authors per Editions	Average Papers per Editions	Average Authors per Papers
SIGACT	STOC	1969-2012	94	5978	2685	44	135.86	61.02	2.23
SIGAPP	SAC	1993-2011	59	12795	4500	19	673.42	236.84	2.84
SIGARCH	ISCA	1976-2011	102	4262	1422	38	112.16	37.42	3.00
SIGART	WI-IAT	2003-2011	23	2579	913	9	286.56	101.44	2.82
SIGBED	HSCC	1998-2012	-	1637	617	15	109.13	41.13	2.65
SIGCHI	CHI	1994-2012	144	10743	3210	23	467.09	139.57	3.35
SIGCOMM	SIGCOMM	1988-2011	140	2805	879	26	107.88	33.81	3.19
SIGCSE	SIGCSE	1986-2012	51	7135	2801	27	264.26	103.74	2.55
SIGDA	DAC	1964-2011	98	16176	5694	48	337.00	118.63	2.84
SIGDOC	SIGDOC	1982-2010	23	1656	878	25	66.24	35.12	1.89
SIGGRAPH	SIGGRAPH	1985-2003	119	3125	1108	19	164.47	58.32	2.82
SIGIR	SIGIR	1978-2011	116	7282	2737	36	202.28	76.03	2.66
SIGKDD	KDD	1995-2011	124	5228	1699	17	307.53	99.94	3.08
SIGMETRICS	SIGMETRICS	1981-2011	71	3316	1206	32	103.63	37.69	2.75
SIGMICRO	MICRO	1987-2011	81	2723	857	25	108.92	34.28	3.18
SIGMM	ACM Multimedia	1993-2011	80	9751	2928	19	513.21	154.11	3.33
SIGMOBILE	MobiCom	1995-2011	106	1617	480	17	95.12	28.24	3.37
SIGMOD	Sigmod Conference	1975-2012	147	8508	2671	38	223.89	70.29	3.19
SIGOPS	PODC	1982-2011	59	3463	1403	30	115.43	46.77	2.47
SIGPLAN	POPL	1975-2012	85	2689	1239	39	68.95	31.77	2.17
SIGSAC	CCS	1996-2011	97	2231	737	18	123.94	40.94	3.03
SIGSAM	ISSAC	1988-2011	-	2302	1177	24	95.92	49.04	1.96
SIGSOFT	ICSE	1987-2011	111	6702	2655	32	209.44	82.97	2.52
SIGUCCS	SIGUCCS	1989-2011	-	2845	1679	24	118.54	69.96	1.69
SIGWEB	CIKM	1992-2011	82	8210	2624	20	410.50	131.20	3.13